Object Name,Discovery Year,host name
11 Com,2007,11 Com
11 Com b,2007,K2-402
11 UMi,2009,11 UMi
11 UMi b,2009,K2-375
14 And,2008,14 And
14 And b,2008,HIP 94235
14 Her,2002,14 Her
14 Her b,2002,K2-253
16 Cyg,1996,16 Cyg B
16 Cyg B b,1996,HATS-41
17 Sco,2020,17 Sco
17 Sco b,2020,K2-155
18 Del,2008,18 Del
18 Del b,2008,K2-291
1RXS J160929.1-210524,2008,1RXS J160929.1-210524
1RXS J160929.1-210524 b,2008,6 Lyn
24 Boo,2018,24 Boo
24 Boo b,2018,GJ 480
24 Sex,2010,24 Sex
24 Sex b,2010,HD 10180
24 Sex c,2010,GJ 486
2M0437 b,2021,K2-115
2MASS J01033563-5515561,2013,2MASS J01033563-5515561 A
2MASS J01033563-5515561 AB b,2013,K2-376
2MASS J01225093-2439505,2013,2MASS J01225093-2439505
2MASS J01225093-2439505 b,2013,Kepler-1013
2MASS J02192210-3925225,2015,2MASS J02192210-3925225
2MASS J02192210-3925225 b,2015,BD-11 4672
2MASS J0249-0557,2018,2MASS J0249-0557 A
2MASS J0249-0557 c,2018,K2-344
2MASS J03590986+2009361,2024,2MASS J03590986+2009361
2MASS J03590986+2009361 b,2024,K2-403
2MASS J04372171+2651014,2021,2MASS J04372171+2651014
2MASS J04414489+2301513,2010,2MASS J04414489+2301513
2MASS J04414489+2301513 b,2010,K2-254
2MASS J11011926-7732383,2024,2MASS J11011926-7732383
2MASS J11011926-7732383 b,2024,K2-99
2MASS J11550485-7919108,2024,2MASS J11550485-7919108
2MASS J11550485-7919108 b,2024,K2-49
2MASS J12073346-3932539,2004,2MASS J12073346-3932539
2MASS J12073346-3932539 b,2004,K2-156
2MASS J19383260+4603591,2015,2MASS J19383260+4603591
2MASS J19383260+4603591 b,2015,HD 101930
2MASS J21252752-8138278,2024,2MASS J21252752-8138278
2MASS J21252752-8138278 b,2024,K2-345
2MASS J22362452+4751425,2016,2MASS J22362452+4751425
2MASS J22362452+4751425 b,2016,K2-377
30 Ari,2009,30 Ari B
30 Ari B b,2009,K2-378
4 UMa,2006,4 UMa
4 UMa b,2006,K2-255
42 Dra,2008,42 Dra
42 Dra b,2008,K2-116
47 UMa,1996,47 UMa
47 UMa b,1996,HIP 35173
47 UMa c,2001,EPIC 212499991
47 UMa d,2009,HATS-42
51 Eri,2015,51 Eri
51 Eri b,2015,HD 102117
51 Peg,1995,51 Peg
51 Peg b,1995,DMPP-4
55 Cnc,1996,55 Cnc
55 Cnc b,1996,GJ 504
55 Cnc c,2004,Kepler-622
55 Cnc d,2002,K2-117
55 Cnc e,2004,XO-3
55 Cnc f,2007,Kepler-644
6 Lyn,2008,6 Lyn
6 Lyn b,2008,HD 102195
61 Vir,2009,61 Vir
61 Vir b,2009,TOI-969
61 Vir c,2009,Kepler-751
61 Vir d,2009,Kepler-718
7 CMa,2011,7 CMa
7 CMa b,2011,HD 102272
7 CMa c,2019,GJ 514
70 Vir,1996,70 Vir
70 Vir b,1996,K2-257
75 Cet,2012,75 Cet
75 Cet b,2012,HD 93385
75 Cet c,2023,GJ 536
8 UMi,2015,8 UMi
8 UMi b,2015,HAT-P-65
81 Cet,2008,81 Cet
81 Cet b,2008,HIP 948
91 Aqr,2013,91 Aqr
91 Aqr b,2013,HIP 9618
AB Aur,2022,AB Aur
AB Aur b,2022,K2-292
AB Pic,2005,AB Pic
AB Pic b,2005,K2-379
AF Lep,2023,AF Lep
AF Lep b,2023,HIP 97166
alf Ari,2016,alf Ari
alf Ari b,2016,2MASS J22362452+4751425
alf Cen,2018,Proxima Cen
alf Tau,2016,alf Tau
alf Tau b,2016,HATS-67
AU Mic,2020,AU Mic
AU Mic b,2020,Kepler-792
AU Mic c,2021,OGLE-2018-BLG-0383L
AU Mic d,2023,HD 10647
b Cen,2016,b Cen A
b Cen AB b,2016,HATS-55
Barnard b,2024,HD 99706
Barnard's star,2024,Barnard's star
BD+03 2562,2017,BD+03 2562
BD+03 2562 b,2017,K2-222
BD+14 4559,2009,BD+14 4559
BD+14 4559 b,2009,Gl 686
BD+15 2375,2016,BD+15 2375
BD+15 2375 b,2016,Gliese 12
BD+15 2940,2013,BD+15 2940
BD+15 2940 b,2013,HAT-P-3
BD+20 2457,2009,BD+20 2457
BD+20 2457 b,2009,K2-5
BD+20 2457 c,2009,K2-346
BD+20 274,2012,BD+20 274
BD+20 274 b,2012,K2-118
BD+20 594,2016,BD+20 594
BD+20 594 b,2016,OGLE-2015-BLG-0954L
BD+45 564,2021,BD+45 564
BD+45 564 b,2021,HAT-P-66
BD+48 738,2011,BD+48 738
BD+48 738 b,2011,GJ 581
BD+48 740,2018,BD+48 740
BD+48 740 b,2018,HATS-43
BD+49 828,2015,BD+49 828
BD+49 828 b,2015,HATS-44
BD+55 362,2021,BD+55 362
BD+55 362 b,2021,GJ 3090
BD+60 1417,2021,BD+60 1417
BD+60 1417 b,2021,CoRoT-31
BD+63 1405,2021,BD+63 1405
BD+63 1405 b,2021,K2-347
BD-06 1339,2013,BD-06 1339
BD-06 1339 b,2013,LTT 1445 A
BD-06 1339 c,2013,Kepler-626
BD-08 2823,2009,BD-08 2823
BD-08 2823 b,2009,Kepler-831
BD-08 2823 c,2009,K2-293
BD-10 3166,2000,BD-10 3166
BD-10 3166 b,2000,gam Lib
BD-11 4672,2014,BD-11 4672
BD-11 4672 b,2014,gam Psc
BD-11 4672 c,2020,Kepler-787
BD-13 2130,2007,BD-13 2130
BD-13 2130 b,2007,K2-294
BD-14 3065,2024,BD-14 3065 A
BD-14 3065 b,2024,24 Boo
BD-17 63,2008,BD-17 63
BD-17 63 b,2008,K2-182
BD-210397,2023,BD-210397
BD-210397 b,2023,GJ 3138
BD-210397 c,2023,K2-157
bet Cnc,2016,bet Cnc
bet Cnc b,2016,HAT-P-28
bet Pic,2016,bet Pic
bet Pic b,2016,OGLE-2015-BLG-0051L
bet Pic c,2021,CoRoT-12
bet UMi,2016,bet UMi
bet UMi b,2016,KMT-2021-BLG-2478L
CD Cet,2020,CD Cet
CD Cet b,2020,2MASS J11550485-7919108
CFBDSIR J145829+101343,2011,CFBDSIR J145829+101343
