Planet Name,Planet Radius [Earth Radius],Duration of a day (hours),Orbital Period [days],Planetary Type,Gravity Strength,Has Biosphere,Star Name
11 Com b,12.2,115.56,323.21,Gas Giant,High,0,11 Com
11 UMi b,12.3,81.4,516.21997,Garden World,Medium,1,11 UMi
14 And b,13.1,96.02,186.76,Dwarf Planet,Low,1,14 And
14 Her b,12.6,63.26,1765.0389,Dwarf Planet,Low,1,14 Her
16 Cyg B b,13.5,63.2,798.5,Dwarf Planet,Low,1,16 Cyg
17 Sco b,12.9,60.37,578.38,Ice Giant,High,0,17 Sco
18 Del b,12.5,72.63,982.85,Gas Giant,High,0,18 Del
1RXS J160929.1-210524 b,18.647,55.03,0,Proto Planet,Low,1,1RXS J160929.1-210524
24 Boo b,13.9,22.6,30.33,Chthonian Planet,Low,1,24 Boo
24 Sex b,13.4,2.51,452.8,Dwarf Planet,Low,1,24 Sex
24 Sex c,13.9,17.82,883,Ice Giant,High,0,24 Sex
2M0437 b,13,83.81,0,Proto Planet,Low,1,2MASS J04372171+2651014
2MASS J01033563-5515561 AB b,12.3,39.18,0,Chthonian Planet,Low,1,2MASS J01033563-5515561
2MASS J01225093-2439505 b,11.209,30.55,0,Ice Giant,High,0,2MASS J01225093-2439505
2MASS J02192210-3925225 b,16.141,13.2,0,Dwarf Planet,Low,1,2MASS J02192210-3925225
2MASS J0249-0557 c,12.4,117.6,0,Chthonian Planet,Low,1,2MASS J0249-0557
2MASS J03590986+2009361 b,12.2,68.21,0,Garden World,Medium,1,2MASS J03590986+2009361
2MASS J04414489+2301513 b,12.6,99.48,0,Dwarf Planet,Low,1,2MASS J04414489+2301513
2MASS J11011926-7732383 b,11.9,4.95,0,Chthonian Planet,Low,1,2MASS J11011926-7732383
2MASS J11550485-7919108 b,12.1,85.55,0,Gas Giant,High,0,2MASS J11550485-7919108
2MASS J12073346-3932539 b,12.9,40,0,Proto Planet,Low,1,2MASS J12073346-3932539
2MASS J19383260+4603591 b,13.4,27.75,406,Ice Giant,High,0,2MASS J19383260+4603591
2MASS J21252752-8138278 b,12.4,22.78,0,Gas Giant,High,0,2MASS J21252752-8138278
2MASS J22362452+4751425 b,12.3,56.16,0,Proto Planet,Low,1,2MASS J22362452+4751425
30 Ari B b,12.3,87.92,335.10001,Dwarf Planet,Low,1,30 Ari
4 UMa b,12.6,105.17,270.27,Dwarf Planet,Low,1,4 UMa
42 Dra b,13,87.82,479.1,Proto Planet,Low,1,42 Dra
47 UMa b,13.2,73.42,1078,Gas Giant,High,0,47 UMa
47 UMa c,14.2,52.76,2391,Ice Giant,High,0,47 UMa
47 UMa d,13.5,70.61,14002,Dwarf Planet,Low,1,47 UMa
51 Eri b,13.4,59.54,11688,Dwarf Planet,Low,1,51 Eri
51 Peg b,14.3,120.67,4.230785,Proto Planet,Low,1,51 Peg
55 Cnc b,13.9,37.79,14.6516,Dwarf Planet,Low,1,55 Cnc
55 Cnc c,8.51,20.35,44.3989,Ice Giant,High,0,55 Cnc
55 Cnc d,13,81.69,5574.2,Ice Giant,High,0,55 Cnc
55 Cnc e,1.875,2.78,0.7365474,Dwarf Planet,Low,1,55 Cnc
55 Cnc f,7.59,26.79,259.88,Chthonian Planet,Low,1,55 Cnc
6 Lyn b,13.4,84.64,919.86,Dwarf Planet,Low,1,6 Lyn
61 Vir b,2.11,77.95,4.215,Proto Planet,Low,1,61 Vir
61 Vir c,4.46,70.63,38.021,Chthonian Planet,Low,1,61 Vir
61 Vir d,5.11,34.18,123.01,Gas Giant,High,0,61 Vir
7 CMa b,13.4,35.35,735.1,Gas Giant,High,0,7 CMa
7 CMa c,13.9,90.39,996,Dwarf Planet,Low,1,7 CMa
70 Vir b,12.6,119.31,116.688,Chthonian Planet,Low,1,70 Vir
75 Cet b,13.3,10.73,696.62,Gas Giant,High,0,75 Cet
75 Cet c,13.9,44.72,2051.62,Gas Giant,High,0,75 Cet
8 UMi b,13.6,87.7,93.4,Chthonian Planet,Low,1,8 UMi
81 Cet b,13.1,81.25,1005.57,Proto Planet,Low,1,81 Cet
91 Aqr b,13.1,52.17,181.4,Ice Giant,High,0,91 Aqr
AB Aur b,12.5,72.15,0,Proto Planet,Low,1,AB Aur
AB Pic b,12.3,14.35,0,Dwarf Planet,Low,1,AB Pic
AF Lep b,13.1,47.78,8030,Chthonian Planet,Low,1,AF Lep
alf Ari b,1.82,56.46,8.67900242,Dwarf Planet,Low,1,alf Ari
alf Tau b,1.14,63.14,4.55139967,Ice Giant,High,0,alf Tau
AU Mic b,3.957,18.35,8.46308,Proto Planet,Low,1,AU Mic
AU Mic c,2.522,10.35,18.85969,Gas Giant,High,0,AU Mic
AU Mic d,1.02,83.65,12.73596,Gas Giant,High,0,AU Mic
b Cen AB b,1.18,84.7,0.96852602,Chthonian Planet,Low,1,b Cen
Barnard b,0.764,104.66,3.1533,Dwarf Planet,Low,1,Barnard's star
BD+03 2562 b,12.7,98.21,481.9,Gas Giant,High,0,BD+03 2562
BD+14 4559 b,13.8,82.44,268.94,Dwarf Planet,Low,1,BD+14 4559
BD+15 2375 b,13.8,32.96,153.22,Garden World,Medium,1,BD+15 2375
BD+15 2940 b,13.7,80.5,137.48,Gas Giant,High,0,BD+15 2940
BD+20 2457 b,12.1,50.9,379.63,Gas Giant,High,0,BD+20 2457
BD+20 2457 c,12.4,7.21,621.99,Proto Planet,Low,1,BD+20 2457
BD+20 274 b,13,118.54,578.2,Gas Giant,High,0,BD+20 274
BD+20 594 b,2.578,107.52,41.6855,Chthonian Planet,Low,1,BD+20 594
BD+45 564 b,13.6,76.95,307.88,Dwarf Planet,Low,1,BD+45 564
BD+48 738 b,13.9,96.76,392.6,Proto Planet,Low,1,BD+48 738
BD+48 740 b,13.5,54.19,733,Chthonian Planet,Low,1,BD+48 740
BD+49 828 b,13.5,7.64,2590,Garden World,Medium,1,BD+49 828
BD+55 362 b,14,62.3,265.59,Proto Planet,Low,1,BD+55 362
BD+60 1417 b,14.684,15.18,0,Gas Giant,High,0,BD+60 1417
BD+63 1405 b,12.4,32.66,1198.48,Gas Giant,High,0,BD+63 1405
BD-06 1339 b,2.85,83.44,3.8728,Dwarf Planet,Low,1,BD-06 1339
BD-06 1339 c,8.38,18.96,125.94,Dwarf Planet,Low,1,BD-06 1339
BD-08 2823 b,3.61,98.89,5.6,Garden World,Medium,1,BD-08 2823
BD-08 2823 c,12.5,46.85,237.6,Ice Giant,High,0,BD-08 2823
BD-10 3166 b,14.1,56.17,3.48777,Proto Planet,Low,1,BD-10 3166
BD-11 4672 b,14.1,87.35,1634,Garden World,Medium,1,BD-11 4672
BD-11 4672 c,4.04,113.89,74.2,Proto Planet,Low,1,BD-11 4672
BD-13 2130 b,12.5,16.02,714.29999,Dwarf Planet,Low,1,BD-13 2130
BD-14 3065 b,21.59,102.85,4.2889731,Dwarf Planet,Low,1,BD-14 3065
BD-17 63 b,12.8,24.69,655.57,Dwarf Planet,Low,1,BD-17 63
BD-210397 b,14,38.63,1891,Gas Giant,High,0,BD-210397
BD-210397 c,12.9,2.07,6240,Dwarf Planet,Low,1,BD-210397
bet Cnc b,1.35,2.48,6.49441289,Ice Giant,High,0,bet Cnc
bet Pic b,2.58,8.25,28.474748,Garden World,Medium,1,bet Pic
bet Pic c,1.68,76.52,4.86631012,Dwarf Planet,Low,1,bet Pic
bet UMi b,3.01,116.5,13.0313945,Chthonian Planet,Low,1,bet UMi
CD Cet b,1.82,7.08,2.2907,Dwarf Planet,Low,1,CD Cet
CFBDSIR J145829+101343 b,12.4,77.09,10037.5,Ice Giant,High,0,CFBDSIR J145829+101343
CFHTWIR-Oph 98 b,20.849,31.67,8040000,Proto Planet,Low,1,CFHTWIR-Oph 98
CHXR 73 b,12.3,0.38,0,Ice Giant,High,0,CHXR 73
CI Tau c,13,61.78,25.2,Gas Giant,High,0,CI Tau
COCONUTS-2 b,12.442,51.67,402000000,Proto Planet,Low,1,COCONUTS-2
CoRoT-1 b,16.7,72.48,1.5089557,Ice Giant,High,0,CoRoT-1
CoRoT-10 b,10.87,87.18,13.2406,Chthonian Planet,Low,1,CoRoT-10
CoRoT-11 b,16.03,59.91,2.99433,Gas Giant,High,0,CoRoT-11
CoRoT-12 b,16.14,27.75,2.828042,Dwarf Planet,Low,1,CoRoT-12
CoRoT-13 b,9.92,83.21,4.03519,Gas Giant,High,0,CoRoT-13
CoRoT-14 b,12.22,14.13,1.51214,Ice Giant,High,0,CoRoT-14
CoRoT-16 b,13.11,3.27,5.35227,Proto Planet,Low,1,CoRoT-16
CoRoT-17 b,11.43,22.68,3.7681,Ice Giant,High,0,CoRoT-17
CoRoT-18 b,14.68,17.61,1.9000693,Proto Planet,Low,1,CoRoT-18
CoRoT-19 b,14.46,32.39,3.89713,Proto Planet,Low,1,CoRoT-19
CoRoT-2 b,16.432,92.97,1.7429935,Dwarf Planet,Low,1,CoRoT-2
CoRoT-20 b,9.416,1.05,9.24285,Ice Giant,High,0,CoRoT-20
CoRoT-20 c,12.2,114.88,1675,Dwarf Planet,Low,1,CoRoT-20
CoRoT-21 b,14.572,21.13,2.72474,Gas Giant,High,0,CoRoT-21
CoRoT-22 b,4.88,88.39,9.75598,Dwarf Planet,Low,1,CoRoT-22
CoRoT-23 b,11.77,121,3.6313,Ice Giant,High,0,CoRoT-23
CoRoT-24 b,3.7,93.94,5.1134,Gas Giant,High,0,CoRoT-24
CoRoT-24 c,5,87.57,11.759,Chthonian Planet,Low,1,CoRoT-24
CoRoT-25 b,12.11,35.1,4.86069,Dwarf Planet,Low,1,CoRoT-25
CoRoT-26 b,14.12,31.18,4.20474,Proto Planet,Low,1,CoRoT-26
CoRoT-27 b,11.287,67,3.57532,Gas Giant,High,0,CoRoT-27
CoRoT-28 b,10.705,64.38,5.20851,Garden World,Medium,1,CoRoT-28
